gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
C19orf56	NaN	NaN	NaN	44766	10476	0	0	0	0	50	6	6024132	1	1
C19orf57	842601	185	32	238680	75924	0	0	0	0	50	0	3611736	1	1
C19orf59	688482	384	31	77436	18144	0	0	0	0	50	2	3435588	1	1
C19orf6	2387949	206	26	235764	72522	0	0	0	0	50	0	4914324	1	1
C19orf60	1395948	185	41	76248	24516	0	0	0	0	50	2	4291758	1	1
C19orf61	452493	192	-2	203094	58536	0	0	0	0	50	1	3129624	1	1
C19orf62	865138	212	38	131058	35154	0	0	0	0	50	1	2861514	1	1
C19orf63	1038277	491	30	109566	37530	0	0	0	0	50	1	3167748	1	1
C19orf66	1615603	272	8	115182	31590	0	0	0	0	15	2	943326	1	1
C19orf69	NaN	NaN	NaN	49680	14958	0	0	0	0	50	6	6028614	1	1
C19orf70	879991	295	21	46710	13068	0	0	0	0	50	2	3060990	1	1
C19orf71	2160126	269	39	80460	24192	0	0	0	0	50	2	3306582	1	1
C19orf73	2011861	267	47	45252	17928	0	0	0	0	50	1	3130380	1	1
C19orf75	352763	629	1	77058	21762	0	0	0	0	50	2	3403836	1	1
C19orf76	1733181	195	36	55566	19926	0	0	0	0	50	0	3445254	1	1
C19orf77	NaN	NaN	NaN	52434	13500	0	0	0	0	50	6	6027156	1	1
C1D	210519	537	2	57888	13716	0	0	0	0	50	1	3286818	1	1
C1GALT1	357040	748	14	143370	35478	0	0	0	0	50	1	3109644	1	1
C1GALT1C1	388105	NaN	7	125550	30780	0	0	0	0	50	3	3033936	1	1
C1QA	389456	541	29	91422	29430	0	0	0	0	50	3	3278664	1	1
C1QB	389456	541	29	95040	29700	0	0	0	0	50	3	3278664	1	1
C1QBP	1145030	544	24	109296	31806	0	0	0	0	50	2	3338874	1	1
C1QC	389456	541	29	90882	29970	0	0	0	0	50	3	3278664	1	1
C1QL1	1037808	191	34	95256	31266	0	0	0	0	50	1	2711610	1	1
C1QL2	169866	574	10	105840	34776	0	0	1	0	38	1	2229228	1	1
C1QL3	96710	791	-1	95094	29970	0	0	0	0	50	0	3823524	1	1
C1QL4	2137968	175	37	87048	29754	0	0	0	0	50	3	3522960	1	1
C1QTNF1	592461	285	15	109242	29754	0	0	0	0	50	2	3063474	1	1
C1QTNF2	197614	469	27	122634	39852	0	0	1	0	3	1	77220	1	1
C1QTNF3	273505	817	1	125496	33588	0	0	0	0	50	2	2924532	1	1
C1QTNF4	989876	214	28	118962	42066	0	0	0	0	50	2	3526902	1	1
C1QTNF5	NaN	NaN	NaN	89478	30402	0	0	0	0	50	6	6044058	1	1
C1QTNF6	668971	289	53	107622	30240	0	0	0	0	50	2	2623104	1	1
C1QTNF7	144115	540	20	112266	33372	0	0	0	0	50	3	3079080	1	1
C1QTNF8	1154740	294	20	93204	31698	0	0	0	0	50	3	3744306	1	1
C1QTNF9	270913	589	44	125982	38286	0	0	0	0	50	1	2474010	1	1
C1QTNF9B	314992	678	51	129438	34344	0	0	0	0	50	0	2044062	1	1
C1R	2459343	195	45	234576	63342	0	0	0	0	50	1	3174552	1	1
C1S	2495896	211	52	270270	71712	0	0	0	0	50	1	3604446	1	1
C1orf100	706923	537	-1	58914	15930	0	0	0	0	50	2	3609846	1	1
C1orf101	716278	590	1	378810	97794	0	0	0	0	50	2	3732156	1	1
C1orf103	406255	715	28	292788	83376	0	0	0	0	50	1	3204792	1	1
C1orf104	NaN	NaN	NaN	84348	30834	0	0	0	0	50	6	6044490	1	1
C1orf105	135244	400	11	74682	18630	0	0	0	0	50	0	3032640	1	1
C1orf106	545933	437	12	247266	81594	0	0	1	0	50	3	3319974	1	1
C1orf107	221666	464	7	298026	77328	0	0	0	0	50	0	3187350	1	1
C1orf109	445023	375	27	79056	22680	0	0	0	0	50	2	2930202	1	1
C1orf110	334195	540	-7	118584	30618	0	0	0	0	50	1	2561598	1	1
C1orf111	363646	391	1	101466	27486	0	0	0	0	50	0	2971458	1	1
C1orf113	685495	212	32	291816	86454	0	0	0	0	50	1	2868048	1	1
C1orf114	286300	491	7	202392	48222	0	0	0	0	50	1	3226500	1	1
C1orf115	447403	520	-11	52218	17928	0	0	0	0	50	2	3486294	1	1
C1orf116	451418	155	25	222480	72036	0	0	0	0	50	0	3615786	1	1
C1orf122	445096	375	33	41742	14148	0	0	0	0	50	0	3002130	1	1
C1orf123	527317	391	27	67284	15822	0	0	0	0	50	3	3221640	1	1
C1orf124	377235	569	2	194940	51138	0	0	0	0	50	2	3709746	1	1
C1orf125	495704	593	-2	416556	99414	0	0	0	0	50	3	3588300	1	1
C1orf127	702484	307	33	306504	101736	0	0	0	0	50	2	3860838	1	1
C1orf128	903441	254	32	83808	22464	0	0	0	0	50	2	2754324	1	1
C1orf129	385644	965	-9	360342	92286	0	0	0	0	50	2	2878038	1	1
C1orf130	468063	348	28	39528	12474	0	0	0	0	50	1	3043656	1	1
C1orf131	383866	603	14	116424	30996	0	0	0	0	50	2	3599856	1	1
C1orf135	746382	372	24	138456	36828	0	0	0	0	50	0	4384692	1	1
C1orf14	757638	424	20	254070	69606	0	0	0	0	50	0	3397734	1	1
C1orf141	444524	673	-5	159948	38826	0	0	0	0	50	1	3098412	1	1
C1orf144	783285	176	42	61074	15228	0	0	0	0	50	1	3515616	1	1
C1orf146	304492	524	-3	72954	18252	0	0	0	0	50	2	3476412	1	1
C1orf150	204354	957	-25	55944	13068	0	0	0	0	50	2	3916404	1	1
C1orf151	775439	271	32	32940	7722	0	0	0	0	50	1	3318246	1	1
C1orf156	244851	614	10	143802	37800	0	0	0	0	50	1	3213162	1	1
C1orf158	141239	571	18	76194	20520	0	0	0	0	50	1	2669814	1	1
C1orf159	2134483	234	21	78678	23220	0	0	0	0	50	3	3249072	1	1
C1orf161	591845	538	12	140994	38664	0	0	0	0	50	1	3232062	1	1
C1orf162	397300	348	28	61128	17928	0	0	0	0	50	2	3019464	1	1
C1orf163	678946	261	27	91908	22464	0	0	0	0	50	0	3525876	1	1
C1orf168	39470	514	-6	293706	72900	0	0	0	0	50	2	3583872	1	1
C1orf172	1025094	188	34	149094	46764	0	0	0	0	50	1	2800656	1	1
C1orf173	101813	1070	-14	591732	161406	0	0	0	0	50	2	3772386	1	1
C1orf174	248975	412	20	93582	26946	0	0	0	0	50	2	2887488	1	1
C1orf175	652892	415	15	507384	150660	0	0	0	0	50	3	2995002	1	1
C1orf177	521961	249	25	173394	47250	0	0	0	0	50	0	2936628	1	1
C1orf182	2199280	201	27	49248	13608	0	0	0	0	50	2	3737070	1	1
C1orf183	346154	440	31	113940	34128	0	0	0	0	50	1	3633282	1	1
C1orf185	NaN	NaN	NaN	79434	20358	0	0	0	0	50	6	6034014	1	1
C1orf187	682357	264	32	133218	40770	0	0	0	0	50	0	3263274	1	1
C1orf189	2028928	185	35	42606	9558	0	0	0	0	50	2	2572290	1	1
C1orf190	908945	190	29	89208	28404	0	0	0	0	50	1	3890538	1	1
C1orf192	751212	293	30	69066	20358	0	0	0	0	50	0	3348648	1	1
C1orf194	989913	215	18	63072	16632	0	0	0	0	50	0	2614248	1	1
C1orf201	748641	197	26	113238	30942	0	0	0	0	50	2	3759858	1	1
C1orf204	NaN	NaN	NaN	90612	27486	0	0	0	0	50	6	6041142	1	1
C1orf21	258985	642	-7	51138	10746	0	0	0	0	11	0	1021626	1	1
C1orf210	1091212	264	30	42552	14148	0	0	0	0	50	1	3239730	1	1
C1orf212	NaN	NaN	NaN	35586	10260	0	0	0	0	50	6	6023916	1	1
C1orf213	1032187	163	25	57672	18144	0	0	0	0	50	0	3216348	1	1
C1orf216	1177566	325	35	86616	25812	0	0	0	0	50	1	3058560	1	1
C1orf223	NaN	NaN	NaN	78084	23166	0	0	0	0	50	6	6036822	1	1
C1orf226	363646	391	1	117828	37692	0	0	0	0	50	0	2971458	1	1
C1orf227	326908	445	13	40068	9666	0	0	0	0	50	3	2789208	1	1
C1orf228	NaN	NaN	NaN	173556	47898	0	0	0	0	50	6	6061554	1	1
C1orf229	NaN	NaN	NaN	82350	33318	0	0	0	0	50	6	6046974	1	1
C1orf230	NaN	NaN	NaN	38232	9558	0	0	0	0	50	6	6023214	1	1
C1orf25	344321	458	-3	289548	76248	0	0	0	0	50	1	3591000	1	1
C1orf26	333911	535	-7	361800	87750	0	0	0	0	19	0	1236114	1	1
C1orf27	277882	399	-14	183330	46224	0	0	0	0	50	0	2758212	1	1
C1orf31	247580	299	10	50166	12690	0	0	0	0	50	0	3033990	1	1
C1orf35	702621	391	5	104814	28350	0	0	0	0	50	1	2580822	1	1
C1orf38	804118	218	23	246294	70254	0	0	0	0	50	1	2686554	1	1
C1orf43	2028928	185	35	100008	27972	0	0	0	0	50	2	2572290	1	1
C1orf49	341211	348	-10	111996	26514	0	0	0	0	50	2	2978316	1	1
C1orf50	820426	426	30	78192	21924	0	0	0	0	50	1	3434832	1	1
C1orf51	1213150	197	38	145314	44874	0	0	0	0	50	1	3196260	1	1
C1orf52	348743	384	3	72090	18468	0	0	0	0	50	0	3056670	1	1
C1orf53	98527	448	-18	55620	16956	0	0	0	0	50	1	2748978	1	1
C1orf54	1213150	197	38	54216	13500	0	0	0	0	50	1	3196260	1	1
C1orf55	923085	239	20	175824	48060	0	0	0	0	50	0	2725488	1	1
C1orf56	1614665	165	40	124902	42282	0	0	0	0	50	1	3089826	1	1
C1orf57	141149	615	-2	73764	21978	0	0	0	0	50	1	3085344	1	1
C1orf58	221959	236	-1	166212	42120	0	0	0	0	50	0	3227418	1	1
C1orf59	679610	225	3	153846	42174	0	0	0	0	50	0	3444606	1	1
C1orf61	2199280	201	27	61830	17712	0	0	0	0	50	2	3737070	1	1
C1orf63	613835	460	36	108918	35100	0	0	0	0	50	1	3609468	1	1
C1orf64	886121	197	43	62586	21006	0	0	0	0	50	2	3048732	1	1
C1orf65	368078	600	-10	233550	69876	0	0	0	0	50	0	2134782	1	1
C1orf66	1750604	179	45	185598	50274	0	0	0	0	50	2	2787210	1	1
C1orf68	NaN	NaN	NaN	94230	27756	0	0	0	0	50	6	6041412	1	1
C1orf69	702358	341	15	128466	46656	0	0	0	0	50	1	2615058	1	1
C1orf70	NaN	NaN	NaN	67986	18846	0	0	0	0	50	6	6032502	1	1
C1orf74	220312	429	18	99360	32508	0	0	0	0	50	2	3303018	1	1
C1orf77	1656449	183	40	93204	31050	0	0	0	0	50	1	3227958	1	1
C1orf83	446494	225	28	81864	22302	0	0	0	0	50	0	3066498	1	1
C1orf84	1088321	252	27	69282	20628	0	0	0	0	50	3	3365172	1	1
C1orf85	2266205	211	33	151146	50220	0	0	1	0	6	1	286740	1	1
C1orf86	849779	293	25	131490	28242	0	0	0	0	50	2	3442068	1	1
C1orf87	66197	942	-13	216486	56484	0	0	0	0	50	3	4084668	1	1
C1orf88	398726	559	15	77436	19440	0	0	0	0	50	5	3196962	1	1
C1orf89	824719	186	40	97470	30996	0	0	0	0	50	0	2657664	1	1
C1orf9	116362	506	10	493776	131058	0	0	0	0	50	0	3763314	1	1
C1orf91	1460758	218	29	54540	17226	0	0	0	0	50	1	3289248	1	1
C1orf92	1172126	244	39	217404	63828	0	0	0	0	50	2	3097764	1	1
C1orf93	323457	335	30	77436	23490	0	0	0	0	50	1	3054510	1	1
C1orf94	28616	907	16	227124	67878	0	0	1	0	50	3	3537162	1	1
C1orf95	608933	509	12	54594	16362	0	0	0	0	50	1	3369114	1	1
C1orf96	285692	361	9	103680	29970	0	0	0	0	50	0	3604932	1	1
C2	2400153	188	35	331344	90504	0	0	0	0	50	1	2895426	1	1
C20orf106	264053	455	-17	67392	18144	0	0	0	0	50	2	3176928	1	1
C20orf107	273023	455	-27	66636	18252	0	0	0	0	50	2	3760614	1	1
C20orf108	254679	672	-43	70956	24462	0	0	0	0	50	2	4094280	1	1
C20orf11	961230	336	40	90882	23004	0	0	0	0	50	1	3493260	1	1
C20orf111	515643	367	28	111348	32994	0	0	0	0	50	1	3048084	1	1
C20orf112	677178	310	61	167940	48978	0	0	0	0	50	0	2646864	1	1
C20orf114	478384	482	27	188892	56538	0	0	0	0	50	4	3872502	1	1
C20orf117	802783	231	67	630882	195642	0	0	1	0	50	4	2552202	1	1
C20orf118	817783	225	47	85212	23976	0	0	0	0	50	3	3886866	1	1
C20orf12	414892	436	2	297594	81324	0	0	0	0	50	0	3114720	1	1
C20orf123	NaN	NaN	NaN	203904	73278	0	0	0	0	50	6	6086934	1	1
C20orf132	808071	360	45	409158	114750	0	0	0	0	50	2	3878226	1	1
C20orf134	NaN	NaN	NaN	88560	30996	0	0	0	0	50	6	6044652	1	1
C20orf135	1123741	206	44	169614	59130	0	0	0	0	50	1	3171636	1	1
C20orf141	796251	438	41	59400	22248	0	0	0	0	50	0	2890458	1	1
C20orf144	NaN	NaN	NaN	56700	19440	0	0	0	0	50	6	6033096	1	1
C20orf151	1190462	205	28	250884	80730	0	0	0	0	50	1	3032370	1	1
C20orf152	1308823	144	53	228204	57726	0	0	0	0	50	2	3254202	1	1
C20orf160	1022704	386	29	163998	52434	0	0	0	0	50	0	3026052	1	1
C20orf165	725555	209	59	84294	27810	0	0	0	0	50	0	2937816	1	1
C20orf166	1191147	NaN	20	46116	12852	0	0	0	0	50	1	3113424	1	1
C20orf173	NaN	NaN	NaN	80838	21060	0	0	0	0	50	6	6034716	1	1
C20orf177	73597	856	-36	144342	42930	0	0	0	0	50	3	3050406	1	1
C20orf185	515931	491	46	180306	60912	0	0	1	0	50	2	3347406	1	1
C20orf194	1015129	338	40	474444	121716	0	0	0	0	50	3	3238650	1	1
C20orf195	1262904	298	54	117882	38124	0	0	0	0	50	3	2852874	1	1
C20orf196	365507	199	12	80136	21276	0	0	0	0	50	0	3217212	1	1
C20orf197	73705	930	-58	48978	13392	0	0	0	0	50	0	2788506	1	1
C20orf20	1044503	208	48	81810	20736	0	0	0	0	50	1	3062016	1	1
C20orf201	NaN	NaN	NaN	86184	31914	0	0	0	0	50	6	6045570	1	1
C20orf202	NaN	NaN	NaN	46872	13878	0	0	0	0	50	6	6027534	1	1
C20orf203	NaN	NaN	NaN	72360	23706	0	0	0	0	50	6	6037362	1	1
C20orf24	1019481	176	62	73764	19224	0	0	0	0	50	0	2781756	1	1
C20orf26	228680	750	-3	493344	130356	0	0	0	0	50	1	3199824	1	1
C20orf27	860065	241	43	77922	22518	0	0	0	0	50	0	3648726	1	1
C20orf29	740484	241	42	73602	25380	0	0	0	0	50	0	4024350	1	1
C20orf3	545344	676	-29	160056	48114	0	0	0	0	50	1	2920104	1	1
C20orf30	494904	385	26	70092	22248	0	0	0	0	50	3	3037176	1	1
C20orf4	1278077	449	44	146826	42228	0	0	0	0	50	2	3657096	1	1
C20orf43	255083	551	-7	122742	31644	0	0	0	0	50	1	3127518	1	1
C20orf54	764796	557	31	172908	58104	0	0	0	0	50	0	3619350	1	1
C20orf7	125337	703	-6	142074	36126	0	0	0	0	50	2	3538134	1	1
C20orf70	418196	491	31	98442	28242	0	0	0	0	50	1	2660256	1	1
C20orf71	478384	482	27	101790	26028	0	0	0	0	50	4	3872502	1	1
C20orf72	756104	499	29	135162	35100	0	0	0	0	50	0	3538242	1	1
C20orf79	256301	699	4	59940	16848	0	0	0	0	50	4	3397734	1	1
C20orf85	372863	576	7	54432	14904	0	0	0	0	50	2	3629826	1	1
C20orf94	165910	412	-17	160272	42714	0	0	0	0	50	0	3034314	1	1
C20orf96	1010597	348	24	147690	35694	0	0	0	0	50	0	3310956	1	1
C21orf2	1153513	308	65	97092	31698	0	0	0	0	50	5	2886084	1	1
C21orf29	860604	461	30	255690	77382	0	0	0	0	50	0	3351240	1	1
C21orf33	879237	219	61	103410	31536	0	0	0	0	50	4	2871666	1	1
C21orf56	758870	488	39	126846	40824	0	0	0	0	50	0	2863350	1	1
C21orf57	940047	624	53	69336	18954	0	0	0	0	50	2	3183030	1	1
C21orf59	265057	182	52	116748	28890	0	0	0	0	50	0	2702970	1	1
C21orf63	268842	162	39	171936	47412	0	0	0	0	50	2	2494098	1	1
C21orf7	316263	146	77	97200	25434	0	0	0	0	50	0	3288276	1	1
C21orf70	746455	191	74	88560	27270	0	0	0	0	50	4	2983986	1	1
C21orf91	113501	686	26	119016	28404	0	0	0	0	46	1	2792286	1	1
C22orf13	480889	194	48	95256	25110	0	0	0	0	50	0	2779704	1	1
C22orf15	637355	196	52	58374	17280	0	0	0	0	50	1	3112830	1	1
C22orf23	1370748	203	50	87102	22734	0	0	0	0	50	2	2788236	1	1
C22orf24	531528	344	-1	62478	17064	0	0	0	0	50	3	3013848	1	1
C22orf25	587146	218	50	110160	29646	0	0	0	0	50	0	2885112	1	1
C22orf26	NaN	NaN	NaN	49032	19494	0	0	0	0	50	6	6033150	1	1
C22orf28	392443	401	-6	199530	53514	0	0	0	0	50	3	3294324	1	1
C22orf29	NaN	NaN	NaN	133812	43578	0	0	0	0	50	6	6057234	1	1
C22orf30	547970	268	36	824148	226908	0	0	0	0	50	0	3380670	1	1
C22orf31	759735	335	-19	111348	31698	0	0	0	0	50	4	3264084	1	1
C22orf32	1321127	363	65	40986	13122	0	0	0	0	50	5	2385774	1	1
C22orf33	724899	379	44	111024	29106	0	0	0	0	50	0	4126896	1	1
C22orf36	NaN	NaN	NaN	114696	41148	0	0	0	0	50	6	6054804	1	1
C22orf39	650407	300	16	61722	17658	0	0	0	0	50	1	3088368	1	1
C22orf41	NaN	NaN	NaN	36288	7938	0	0	0	0	50	6	6021594	1	1
C22orf42	426151	580	-16	102384	25920	0	0	0	0	50	0	2548368	1	1
C22orf43	604420	399	31	96876	22032	0	0	0	0	50	1	2834730	1	1
C22orf9	417645	225	9	170316	45792	0	0	0	0	50	2	3310578	1	1
C2CD2L	1390854	195	58	265518	86994	0	0	0	0	50	0	2608254	1	1
C2CD4A	125995	446	20	128304	52164	0	0	0	0	50	3	2990736	1	1
C2CD4B	NaN	NaN	NaN	126684	51354	0	0	0	0	50	6	6065010	1	1
C2CD4C	NaN	NaN	NaN	152010	53730	0	0	0	0	50	6	6067386	1	1
C2CD4D	NaN	NaN	NaN	122850	49518	0	0	0	0	50	6	6063174	1	1
C2orf15	NaN	NaN	NaN	48870	13662	0	0	0	0	50	6	6027318	1	1
C2orf16	1192670	306	41	747576	217458	0	0	0	0	50	2	4340952	1	1
C2orf24	773232	177	36	155628	48654	0	0	0	0	50	1	3028266	1	1
C2orf27A	NaN	NaN	NaN	76140	24300	0	0	0	0	50	6	6037956	1	1
C2orf27B	NaN	NaN	NaN	77652	25056	0	0	0	0	50	6	6038712	1	1
C2orf28	1238919	230	39	109404	32994	0	0	0	0	50	2	2769228	1	1
C2orf29	413646	262	19	194562	57996	0	0	0	0	17	0	1313118	1	1
C2orf3	136392	523	4	312822	77598	0	0	0	0	50	0	2544102	1	1
C2orf34	414128	685	26	129438	34506	0	0	0	0	50	2	3853278	1	1
C2orf39	751542	408	42	298134	72684	0	0	0	0	50	1	3433050	1	1
C2orf40	99910	798	0	58644	15714	0	0	0	0	50	0	3209976	1	1
C2orf42	677043	143	42	221832	62802	0	0	0	0	50	1	3182382	1	1
C2orf43	491470	393	16	129168	33156	0	0	0	0	50	4	3224988	1	1
C2orf44	243145	226	33	272862	79974	0	0	0	0	50	1	2742282	1	1
C2orf47	237591	673	22	112104	32724	0	0	0	0	50	1	3325914	1	1
C2orf48	881918	220	41	62046	17658	0	0	0	0	50	1	3720708	1	1
C2orf49	198223	381	8	90720	24786	0	0	0	0	50	0	2859408	1	1
C2orf50	466103	384	26	62154	19008	0	0	0	0	50	3	3113046	1	1
C2orf51	120457	497	2	71010	18900	0	0	0	0	50	0	2567592	1	1
C2orf54	1187158	297	30	168210	54378	0	0	0	0	50	1	3200580	1	1
C2orf55	493189	692	29	357210	116640	0	0	0	0	50	1	2987496	1	1
C2orf56	488101	253	42	172908	48060	0	0	0	0	50	2	2468988	1	1
C2orf57	994385	202	43	145962	46818	0	0	0	0	50	4	3428244	1	1
C2orf60	226122	602	18	128142	31590	0	0	0	0	50	3	3118986	1	1
C2orf61	738157	206	39	99846	27486	0	0	0	0	50	0	3016386	1	1
C2orf62	734742	197	37	152766	41958	0	0	0	0	50	1	3308148	1	1
C2orf63	967446	333	25	235170	57240	0	0	0	0	50	0	2971242	1	1
C2orf64	260302	696	39	30618	7452	0	0	0	0	50	2	3239784	1	1
C2orf65	996981	278	50	205956	58590	0	0	0	0	50	0	3159000	1	1
C2orf66	404194	370	14	45414	13230	0	0	0	0	50	1	3576042	1	1
C2orf67	190249	712	1	390258	98982	0	0	0	0	50	3	3686310	1	1
C2orf68	1158965	170	43	65232	18198	0	0	0	0	50	0	2982582	1	1
C2orf69	214653	674	14	148176	40068	0	0	0	0	50	2	2549232	1	1
C2orf7	536944	452	20	73926	20844	0	0	0	0	50	4	2610522	1	1
C2orf70	931476	428	35	78138	22302	0	0	0	0	50	0	2546424	1	1
C2orf71	471053	404	28	481410	145692	0	0	0	0	50	3	3161916	1	1
C2orf72	NaN	NaN	NaN	105084	40068	0	0	0	0	50	6	6053724	1	1
C2orf73	659505	429	8	113238	29646	0	0	0	0	50	1	3009852	1	1
C2orf74	NaN	NaN	NaN	76788	19926	0	0	0	0	50	6	6033582	1	1
C2orf76	193588	467	26	52596	12690	0	0	0	0	50	2	2656746	1	1
C2orf77	345692	393	35	224640	49626	0	0	0	0	50	0	3208842	1	1
C2orf78	1124858	404	43	344952	104922	0	0	0	0	50	3	3019194	1	1
C2orf79	299133	374	39	53352	16470	0	0	0	0	50	1	2653668	1	1
C2orf80	321897	440	5	79218	20250	0	0	0	0	50	0	2561868	1	1
C2orf81	NaN	NaN	NaN	215568	72630	0	0	0	0	50	6	6086286	1	1
C2orf82	NaN	NaN	NaN	44550	16686	0	0	0	0	50	6	6030342	1	1
C2orf83	186199	353	25	70902	19818	0	0	0	0	50	2	3169098	1	1
C2orf84	320978	385	35	83106	20736	0	0	0	0	50	0	2867508	1	1
C2orf85	521265	487	30	211356	68418	0	0	0	0	50	2	3750300	1	1
C2orf86	334800	642	3	299700	78570	0	0	1	0	50	3	2737800	1	1
C2orf88	450974	478	21	37584	9072	0	0	0	0	16	0	853524	1	1
C3AR1	142724	300	23	180792	54594	0	0	0	0	50	3	3115746	1	1
C3orf1	290702	599	38	111294	31590	0	0	0	0	50	0	2939004	1	1
C3orf10	825905	170	39	30780	7776	0	0	0	0	50	0	2646540	1	1
C3orf14	213716	935	-3	52164	13122	0	0	0	0	50	1	3262140	1	1
C3orf15	368404	568	31	305910	78516	0	0	0	0	50	2	3649050	1	1
C3orf16	NaN	NaN	NaN	209520	58590	0	0	0	0	50	6	6072246	1	1
C3orf18	603887	293	52	62316	19332	0	0	0	0	50	1	2316168	1	1
C3orf19	561517	424	39	188028	46224	0	0	0	0	50	1	4070412	1	1
C3orf20	540760	510	41	348840	100062	0	0	0	0	50	1	3685392	1	1
C3orf21	431673	536	46	147906	45522	0	0	0	0	50	3	3117150	1	1
C3orf22	289633	508	52	54216	16740	0	0	0	0	50	1	3537756	1	1
C3orf23	319459	418	27	206658	49464	0	0	0	0	50	1	3276504	1	1
C3orf24	825905	170	39	68094	19710	0	0	0	0	50	0	2646540	1	1
C3orf26	267848	573	10	116154	28026	0	0	0	0	50	0	3055428	1	1
C3orf27	1046071	282	53	54540	18360	0	0	0	0	50	1	2854440	1	1
C3orf30	197435	589	-3	206442	56160	0	0	0	0	50	0	2932956	1	1
C3orf31	229249	423	35	125442	32832	0	0	0	0	50	0	3240810	1	1
C3orf32	93870	581	8	138726	39150	0	0	0	0	50	1	3243294	1	1
C3orf33	304724	473	0	99414	25650	0	0	0	0	50	2	3793176	1	1
C3orf34	818753	446	45	67230	15714	0	0	0	0	50	2	3708720	1	1
C3orf35	471302	442	16	80946	24840	0	0	0	0	50	3	2675106	1	1
C3orf36	548078	520	28	59076	21600	0	0	0	0	50	5	3353346	1	1
C3orf37	1033808	136	49	139212	37206	0	0	0	0	50	1	3068820	1	1
C3orf38	123481	894	0	126954	34722	0	0	0	0	50	0	2988630	1	1
C3orf39	331914	493	28	213354	69012	0	0	0	0	50	3	3315762	1	1
C3orf43	1180405	156	30	83106	22680	0	0	0	0	50	0	3053430	1	1
C3orf45	843769	206	51	62208	20250	0	0	0	0	50	5	3105432	1	1
C3orf52	268780	440	28	130302	36234	0	0	0	0	50	1	3089178	1	1
C3orf54	1306720	191	39	106650	34290	0	0	0	0	50	0	3303450	1	1
C3orf55	147326	810	-11	76734	14634	0	0	0	0	50	0	3300048	1	1
C3orf57	240601	602	-4	30510	7560	0	0	0	0	50	1	2780838	1	1
C3orf58	34520	1009	-6	165726	50220	0	0	0	0	50	2	2880198	1	1
C3orf59	34577	631	8	187434	52326	0	0	0	0	50	0	3768822	1	1
C3orf62	1661046	201	34	104220	27324	0	0	0	0	50	1	3128922	1	1
C3orf64	263737	581	-2	180900	42660	0	0	0	0	50	0	2317680	1	1
C3orf67	146530	837	19	224262	57618	0	0	0	0	50	1	3322566	1	1
C3orf70	760533	598	32	96606	26028	0	0	0	0	50	0	3688902	1	1
C3orf71	1838219	241	33	101736	39690	0	0	0	0	50	2	2979774	1	1
C3orf72	345888	340	21	63936	22896	0	0	0	0	50	0	3284766	1	1
C3orf75	884829	197	44	104382	29268	0	0	0	0	50	2	3041010	1	1
C3orf77	NaN	NaN	NaN	665334	170100	0	0	0	0	50	6	6183756	1	1
C3orf78	NaN	NaN	NaN	27864	7614	0	0	0	0	50	6	6021270	1	1
C3orf79	55177	914	-4	40338	10368	0	0	0	0	50	1	2942784	1	1
C4A	NaN	NaN	NaN	1266084	376272	0	0	0	0	6	0	893646	1	1
C4B	NaN	NaN	NaN	1266084	376272	0	0	0	0	6	0	893646	1	1
C4BPA	501293	142	22	236142	61614	0	0	0	0	50	0	2891322	1	1
C4BPB	434877	155	24	103356	23814	0	0	0	0	50	0	4017006	1	1
C4orf14	570731	443	33	262656	81594	0	0	0	0	50	2	3164238	1	1
C4orf19	124686	814	32	121176	33210	0	0	0	0	50	1	3477060	1	1
C4orf21	219601	647	30	827064	213462	0	0	0	0	50	0	2457270	1	1
C4orf22	46363	1141	-4	92610	24678	0	0	0	0	50	1	3208194	1	1
C4orf23	108213	416	43	291276	84240	0	0	0	0	50	1	3490020	1	1
C4orf26	461415	491	19	50706	13932	0	0	0	0	50	3	3101652	1	1
C4orf27	173367	574	17	139536	33966	0	0	0	0	50	1	2398842	1	1
C4orf29	231217	284	16	165294	42876	0	0	0	0	50	0	2942784	1	1
C4orf3	218603	824	-1	76518	22464	0	0	0	0	50	3	2975400	1	1
C4orf31	106601	931	-7	218160	60156	0	0	0	0	50	2	3252852	1	1
C4orf32	167195	334	20	50112	15174	0	0	0	0	50	2	3103380	1	1
C4orf33	98087	645	-2	81270	19170	0	0	0	0	50	0	3155922	1	1
C4orf34	645570	165	40	40338	10854	0	0	0	0	50	1	3110508	1	1
C4orf35	264684	915	25	148554	44226	0	0	0	0	50	2	2644110	1	1
C4orf36	268001	603	36	47142	12798	0	0	0	0	50	0	2457324	1	1
C4orf39	NaN	NaN	NaN	57186	19926	0	0	0	0	50	6	6033582	1	1
C4orf40	181352	975	12	81432	28080	0	0	0	0	50	2	2726838	1	1
C4orf41	154470	254	4	454464	115452	0	0	0	0	50	1	2844774	1	1
C4orf43	75022	1136	-3	84240	18792	0	0	0	0	50	1	3168342	1	1
C4orf44	612481	464	32	105786	31104	0	0	0	0	50	2	3473604	1	1
C4orf45	155458	337	10	75492	18306	0	0	0	0	50	0	3214620	1	1
C4orf46	154316	534	-11	42444	13608	0	0	0	0	50	0	3745224	1	1
C4orf47	NaN	NaN	NaN	124092	31428	0	0	0	0	50	6	6045084	1	1
