Gene	chr	q	residual_q	peak	Type
C17orf101	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
ZNF750	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
NUP85	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MYO15B	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
C17orf70	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
LIMD2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
KCNH6	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
VMP1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
TSPAN10	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
BRIP1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
QRICH2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
KIF2B	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
USP32	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CBX2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
FAM104A	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MGC16275	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
FBF1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
UNK	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CEP95	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
TRIM47	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
STRADA	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
C17orf72	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MAFG-AS1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
OTOP2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
TTYH2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CYGB	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
RNF157	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
C1QTNF1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
PPP1R27	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
FTSJ3	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
METTL23	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
HSF5	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
OR4D2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MSI2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SLC38A10	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CANT1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
USH1G	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CD300LB	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
KIF19	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
C17orf64	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
TBC1D16	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
AFMID	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
DYNLL2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MGAT5B	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
C17orf56	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
B3GNTL1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
RBFOX3	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CD300LF	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
C17orf77	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
TCAM1P	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
EFCAB3	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
LOC146880	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
NOTUM	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
TMC8	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
ANKFN1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MARCH10	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CEP112	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
STRA13	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
LRRC45	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SLC39A11	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
AMZ2P1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
TRIM65	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
UNC13D	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MTVR2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
STXBP4	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MYADML2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
NPB	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
LINC00469	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
FADS6	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
C17orf28	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
TSEN54	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
FAM100B	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
TMEM235	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CCDC57	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
HEXDC	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
C17orf58	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MILR1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
C17orf47	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SLC26A11	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
ENDOV	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
GDPD1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
C17orf89	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
LINC00482	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
TMEM105	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
METRNL	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
RAB37	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
METTL2A	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
C17orf67	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
ENPP7	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
C17orf90	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CCDC137	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
ARL16	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CD300E	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
NACA2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
OTOP3	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SKA2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
FAM195B	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
GPR142	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
ZACN	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
LRRC37A3	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
RNF126P1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
YPEL2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
C17orf82	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
BTBD17	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
AATK-AS1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
FLJ43681	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
KCNJ2-AS1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
LINC00511	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
LOC400620	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
FLJ45079	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
TEX19	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CUEDC1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MIR142	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MIR21	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MIR301A	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MXRA7	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
TBC1D3P2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
PLEKHM1P	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
LOC440461	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
FLJ90757	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MIR338	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CPSF4L	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
C17orf109	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
LOC645638	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
TBC1D3P1-DHX40P1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
LOC653653	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
LINC00338	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SCARNA20	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SCARNA16	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SNORA76	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SNORD1A	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SNORD1B	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SNORD1C	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SNORD104	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MIR634	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MIR635	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MIR636	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MIR657	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
LOC729683	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
PRCD	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MIR454	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
SNORA38B	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
C17orf110	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
LOC100131096	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
CD300LD	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
TEN1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
C17orf99	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
LOC100287042	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
LOC100294362	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MIR1250	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MIR4316	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MIR3065	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MIR548W	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MIR3186	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MIR4315-2	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MIR4315-1	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
LOC100499466	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
LOC100499467	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MIR3614	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MIR3678	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MIR3615	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
LOC100506650	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
LOC100506779	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
LOC100507218	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
LOC100507246	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
LOC100507351	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
LOC100507410	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
TEN1-CDK3	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MIR4739	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MIR4729	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MIR4737	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MIR4736	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MIR4738	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MIR4740	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MIR4524A	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MIR4730	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MIR3064	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
MIR5047	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
LOC100653515	17q22	0.024266	0.024266	chr17:49437721-81195210	Amp
hsa-mir-649	22q11.21	0.0017439	0.046353	chr22:21252508-21458081	Amp
CRKL	22q11.21	0.0017439	0.046353	chr22:21252508-21458081	Amp
SLC7A4	22q11.21	0.0017439	0.046353	chr22:21252508-21458081	Amp
LZTR1	22q11.21	0.0017439	0.046353	chr22:21252508-21458081	Amp
P2RX6	22q11.21	0.0017439	0.046353	chr22:21252508-21458081	Amp
THAP7	22q11.21	0.0017439	0.046353	chr22:21252508-21458081	Amp
MGC16703	22q11.21	0.0017439	0.046353	chr22:21252508-21458081	Amp
AIFM3	22q11.21	0.0017439	0.046353	chr22:21252508-21458081	Amp
LOC400891	22q11.21	0.0017439	0.046353	chr22:21252508-21458081	Amp
BCRP2	22q11.21	0.0017439	0.046353	chr22:21252508-21458081	Amp
THAP7-AS1	22q11.21	0.0017439	0.046353	chr22:21252508-21458081	Amp
P2RX6P	22q11.21	0.0017439	0.046353	chr22:21252508-21458081	Amp
