Gene	TUSON_p_value_TSG	TUSON_q_value_TSG	TSG_Probability_LASSO	Chromosome
KIDINS220	0.11975791	0.974856983	0.146088548	2
CNN2	0.119849541	0.974856983	0.492763247	19
GNG12	0.11996281	0.974856983	0.581818373	1
AOC2	0.120651787	0.974856983	0.233380496	17
PGBD2	0.120681674	0.974856983	0.183458337	1
AHCTF1	0.12076986	0.974856983	0.071350694	1
RAD54B	0.120857555	0.974856983	0.109802624	8
VEGFA	0.120898237	0.974856983	0.340020559	6
NBPF14	0.12091808	0.974856983	0.247536814	1
IER5L	0.120949244	0.974856983	0.244195737	9
FAM160B2	0.121012318	0.974856983	0.38603428	8
KRTAP9-4	0.121563888	0.974856983	0.215261689	17
TMA16	0.121590461	0.974856983	0.709437008	4
RWDD3	0.122142259	0.974856983	0.53894999	1
EDNRB	0.122697433	0.974856983	0.359182063	13
RMND1	0.122844473	0.974856983	0.431682357	6
TMEM207	0.122867345	0.974856983	0.221081138	3
MAP9	0.122958641	0.974856983	0.272984658	4
CBX8	0.122983269	0.974856983	0.363352291	17
OPN4	0.123225524	0.974856983	0.538490965	10
PSD	0.123292001	0.974856983	0.422721545	10
TSC1	0.123707927	0.974856983	0.591169832	9
KPNB1	0.123823377	0.974856983	0.535063386	17
JMJD8	0.123912955	0.974856983	0.280131208	16
CHADL	0.124155496	0.974856983	0.630700633	22
NPHP3	0.124302003	0.974856983	0.365675807	3
MVK	0.12455445	0.974856983	0.182059253	12
CDKN1C	0.124668267	0.974856983	0.295133261	11
JPH4	0.124714076	0.974856983	0.40456652	14
YTHDC2	0.124729641	0.974856983	0.238157758	5
C7orf65	0.124803162	0.974856983	0.156582158	7
SUMF1	0.125807291	0.974856983	0.447316163	3
SLC4A1AP	0.126013973	0.974856983	0.476719857	2
KLHL13	0.126120994	0.974856983	0.385213874	X
ACTRT1	0.126318339	0.974856983	0.22224863	X
WDR77	0.12652355	0.974856983	0.629837601	1
SCAP	0.126543355	0.974856983	0.490799307	3
SNX21	0.126601498	0.974856983	0.072541264	20
PAFAH1B1	0.126918232	0.974856983	0.45480067	17
CLRN1	0.126983373	0.974856983	0.23478532	3
APEH	0.127573779	0.974856983	0.840590265	3
GALNT10	0.127704375	0.974856983	0.207367547	5
ERCC6L2	0.128030579	0.974856983	0.771766251	9
ZDHHC6	0.128213854	0.974856983	0.406639225	10
REPS2	0.128382917	0.974856983	0.631424098	X
DNAL1	0.128415611	0.974856983	0.812817806	14
ARHGAP11B	0.128484442	0.974856983	0.512669888	15
MGST3	0.128573773	0.974856983	0.302398319	1
LYAR	0.12864995	0.974856983	0.71407278	4
KRT5	0.128906439	0.974856983	0.501952896	12
G6PC	0.129251218	0.974856983	0.187718616	17
GPRIN1	0.129426333	0.974856983	0.154990181	5
CEP57L1	0.129831178	0.974856983	0.542195869	6
RPRD2	0.129952928	0.974856983	0.189214889	1
KATNAL2	0.130319343	0.974856983	0.400877563	18
C1orf21	0.130409332	0.974856983	0.172817998	1
ARL6IP1	0.130782368	0.974856983	0.173889903	16
PROK1	0.131580695	0.974856983	0.513637115	1
BIRC8	0.132420947	0.974856983	0.269307817	19
EPS8L1	0.132570147	0.974856983	0.466433738	19
RAB31	0.13276736	0.974856983	0.377818004	18
ZNF791	0.132788812	0.974856983	0.552743811	19
MCF2	0.13305885	0.974856983	0.3697037	X
SNRK	0.133077246	0.974856983	0.481340435	3
TMEM198	0.133187557	0.974856983	0.082009658	2
GNG3	0.133202442	0.974856983	0.317504333	11
RPS6KC1	0.133482476	0.974856983	0.169197008	1
KLF9	0.133507034	0.974856983	0.281166325	9
KNOP1	0.133924325	0.974856983	0.653381158	16
PKD2L2	0.134259162	0.974856983	0.159317281	5
BHLHE41	0.135099337	0.974856983	0.366277211	12
SLITRK6	0.135495106	0.974856983	0.475898658	13
MTMR1	0.135703771	0.974856983	0.230000976	X
PCM1	0.136318758	0.974856983	0.59775509	8
RGPD3	0.136531913	0.974856983	0.14421176	2
SLC25A5	0.136817471	0.974856983	0.74377828	X
KRT38	0.136883034	0.974856983	0.411289601	17
G6PC3	0.137184707	0.974856983	0.465398963	17
SMC6	0.137720529	0.974856983	0.495648145	2
ZNF572	0.138554193	0.974856983	0.151330643	8
TPST1	0.138693897	0.974856983	0.50714374	7
CLECL1	0.139120862	0.974856983	0.557514894	12
VPS35	0.139141207	0.974856983	0.382793926	16
DPAGT1	0.139412863	0.974856983	0.579483033	11
REEP3	0.139428612	0.974856983	0.297198987	10
PLCE1	0.139651968	0.974856983	0.749869273	10
DDX50	0.139683654	0.974856983	0.402794023	10
NACA2	0.140237394	0.974856983	0.300403323	17
FBXO17	0.140458396	0.974856983	0.295832983	19
ATF6	0.140696059	0.974856983	0.427726258	1
REV3L	0.141406658	0.974856983	0.478371688	6
SIRT6	0.142091058	0.974856983	0.681737129	19
ZNF564	0.142212248	0.974856983	0.731008282	19
LRR1	0.143174418	0.974856983	0.446486523	14
METTL12	0.14350541	0.974856983	0.31427499	11
EDC4	0.143653603	0.974856983	0.437938349	16
C21orf91	0.144198715	0.974856983	0.610456176	21
HIST1H2AM	0.144408057	0.974856983	0.349771663	6
NOL10	0.145313525	0.974856983	0.232844737	2
SLC15A4	0.145334798	0.974856983	0.271433956	12
DCLRE1B	0.145532018	0.974856983	0.60304249	1
PRKAB1	0.145617862	0.974856983	0.515452934	12
C19orf53	0.14570274	0.974856983	0.265772404	19
OR8I2	0.14586602	0.974856983	0.564537322	11
ZNF790	0.147120582	0.974856983	0.192761077	19
FAM21B	0.147331592	0.974856983	0.386621539	10
RNF122	0.147685825	0.974856983	0.436683033	8
TAP1	0.147849892	0.974856983	0.543331012	6
PHF3	0.148235945	0.974856983	0.129862852	6
HNRNPC	0.148614907	0.974856983	0.599527922	14
OAZ3	0.149135496	0.974856983	0.446559461	1
JAK2	0.149272789	0.974856983	0.375676076	9
OSBPL11	0.149813918	0.974856983	0.373343058	3
TLE2	0.150239533	0.974856983	0.464820597	19
CEP55	0.151497082	0.974856983	0.675652604	10
SLC50A1	0.151538289	0.974856983	0.357453067	1
TSPYL4	0.151624235	0.974856983	0.762242827	6
COX16	0.152763793	0.974856983	0.363224397	14
TDRD6	0.153538462	0.974856983	0.240287857	6
PARVG	0.153992586	0.974856983	0.765515465	22
MSLNL	0.154679202	0.974856983	0.737055441	16
KIAA1551	0.156272978	0.974856983	0.174671414	12
SHARPIN	0.156433593	0.974856983	0.056285443	8
ZNF729	0.157487523	0.974856983	0.562969316	19
FAM89A	0.157811028	0.974856983	0.097886676	1
LIAS	0.158433813	0.974856983	0.683117361	4
NSUN7	0.158614744	0.974856983	0.57729914	4
PRH1	0.158640506	0.974856983	0.614284357	12
OXER1	0.158858436	0.974856983	0.379393214	2
COA6	0.159077909	0.974856983	0.357541006	1
ZKSCAN5	0.160051948	0.974856983	0.300494405	7
SYDE1	0.160671751	0.974856983	0.01387082	19
CNOT8	0.160843583	0.974856983	0.352148789	5
TPD52	0.160877626	0.974856983	0.281114014	8
CNKSR1	0.1613536	0.974856983	0.404178357	1
DHRS9	0.162302801	0.974856983	0.451423342	2
RSPO3	0.163454261	0.974856983	0.397980882	6
SPR	0.163603382	0.974856983	0.475155106	2
BIN3	0.163696324	0.974856983	0.71919086	8
MSANTD3	0.16378593	0.974856983	0.69541361	9
TNKS1BP1	0.164587781	0.974856983	0.08869431	11
WDR45	0.165984715	0.974856983	0.438152233	X
IL11	0.166195191	0.974856983	0.446725862	19
C12orf68	0.166469327	0.974856983	0.499046147	12
RNF186	0.16651553	0.974856983	0.408007549	1
ZNF491	0.167026388	0.974856983	0.1834005	19
CXorf21	0.167069408	0.974856983	0.426100463	X
KLHDC1	0.167422937	0.974856983	0.401230488	14
PNP	0.167764559	0.974856983	0.451865015	14
ZNF621	0.167794406	0.974856983	0.277357475	3
RNF151	0.169022734	0.974856983	0.347320739	16
NAGLU	0.169028639	0.974856983	0.418824781	17
SLA2	0.169322687	0.974856983	0.466407231	20
BMP8A	0.17004195	0.974856983	0.434615103	1
C1S	0.170126997	0.974856983	0.144132553	12
ANKRD7	0.170336656	0.974856983	0.733368517	7
JMJD4	0.170446837	0.974856983	0.149466206	1
PORCN	0.170591042	0.974856983	0.228561062	X
GIPC3	0.170731176	0.974856983	0.591847611	19
LINC00482	0.172303356	0.974856983	0.053072804	17
TLX1NB	0.172303356	0.974856983	0.369564249	10
CKAP2	0.172448838	0.974856983	0.456154357	13
TMEM237	0.172480692	0.974856983	0.483007432	2
SIK2	0.174269348	0.974856983	0.355426733	11
KRT19	0.174336092	0.974856983	0.574699487	17
FKBP9	0.174628267	0.974856983	0.103887556	7
TRMT5	0.174826671	0.974856983	0.651006667	14
TMEM105	0.175666183	0.974856983	0.373486291	17
POLR3E	0.176433277	0.974856983	0.172705752	16
SPATA5L1	0.176688413	0.974856983	0.516171361	15
BZW1	0.178522021	0.974856983	0.595947486	2
PLD3	0.17895754	0.974856983	0.188620825	19
C6orf223	0.179045317	0.974856983	0.267922093	6
KLRK1	0.179544535	0.974856983	0.291231415	12
ARMC10	0.179559865	0.974856983	0.227847946	7
GNG8	0.180382662	0.974856983	0.206199101	19
ZNF449	0.180621598	0.974856983	0.202221936	X
EXOSC10	0.181181554	0.974856983	0.550554718	1
ASCL3	0.181602895	0.974856983	0.591850767	11
NREP	0.183370782	0.974856983	0.6585151	5
KCTD5	0.184124853	0.974856983	0.483024078	16
ARV1	0.184464055	0.974856983	0.202537223	1
TRIM15	0.185302243	0.974856983	0.453333359	6
PIWIL2	0.186001241	0.974856983	0.320442327	8
MNT	0.187312327	0.974856983	0.271045942	17
SRY	0.187549714	0.974856983	0.280538058	Y
ZNF784	0.187785252	0.974856983	0.3418372	19
FAM196A	0.188136354	0.974856983	0.543669438	10
NOX5	0.188535862	0.974856983	0.210222704	15
CGB7	0.188835341	0.974856983	0.517519567	19
JAG2	0.189191625	0.974856983	0.122705065	14
MRI1	0.189708976	0.974856983	0.157325421	19
PET112	0.190067683	0.974856983	0.739469492	4
ZNF268	0.190248374	0.974856983	0.451935251	12
EFNB3	0.190634242	0.974856983	0.054897512	17
WFDC10A	0.191982783	0.974856983	0.514673481	20
MUC6	0.192565116	0.974856983	0.382258298	11
SLC22A4	0.192876264	0.974856983	0.128346549	5
KRTAP9-2	0.192947532	0.974856983	0.346243233	17
TAF11	0.19361281	0.974856983	0.17644827	6
CLCN3	0.19366844	0.974856983	0.448158072	4
C1orf226	0.193752031	0.974856983	0.052974164	1
TMEM109	0.19497353	0.974856983	0.100758707	11
SDR39U1	0.195095627	0.974856983	0.485700289	14
ARMCX3	0.195345786	0.974856983	0.658968031	X
CLDN6	0.196434629	0.974856983	0.116796464	16
XAGE5	0.197225301	0.974856983	0.655928752	X
COIL	0.198021969	0.974856983	0.298468087	17
CD1E	0.198262047	0.974856983	0.328920911	1
CGRRF1	0.198326373	0.974856983	0.570314893	14
MPV17L2	0.198652316	0.974856983	0.284341518	19
SATL1	0.198998542	0.974856983	0.559624353	X
THAP9	0.199364408	0.974856983	0.527526471	4
SLC26A1	0.200216492	0.974856983	0.453011733	4
PSMD1	0.200534591	0.974856983	0.370094531	2
RAN	0.200909769	0.974856983	0.550251333	12
C4orf21	0.201663263	0.974856983	0.47107984	4
SLAMF7	0.201897809	0.974856983	0.25335254	1
UFSP1	0.205082035	0.974856983	0.365014157	7
SHISA5	0.205805133	0.974856983	0.439114231	3
PSME1	0.207089749	0.974856983	0.435285514	14
ZNF433	0.208474224	0.974856983	0.201173707	19
LIMA1	0.20863564	0.974856983	0.190123495	12
PCDHGA9	0.208640979	0.974856983	0.242711817	5
OR11H1	0.210395479	0.974856983	0.606882559	22
ZFHX2	0.211702157	0.974856983	0.598301546	14
SPATA1	0.21302277	0.974856983	0.714871827	1
CDKL2	0.216466702	0.974856983	0.741004813	4
MLH3	0.220988888	0.974856983	0.526186643	14
OR6C74	0.221003274	0.974856983	0.671137327	12
ZNF45	0.222360407	0.974856983	0.12776742	19
CTAGE5	0.22414631	0.974856983	0.341336811	14
WDR5B	0.224402577	0.974856983	0.141490597	3
PRR11	0.225076504	0.974856983	0.697535467	17
SLC38A10	0.225188365	0.974856983	0.3294031	17
JAG1	0.22539118	0.974856983	0.284728647	20
GNL3	0.226988537	0.974856983	0.769653519	3
RSPH10B2	0.23011434	0.974856983	0.169311406	7
LOC401052	0.231591073	0.974856983	0.540283173	3
LOC728819	0.231591073	0.974856983	0.56254782	2
STAG3L2	0.231591073	0.974856983	0.08920306	7
KRTAP9-1	0.234443416	0.974856983	0.094622414	17
PRRT2	0.235583429	0.974856983	0.396394605	16
ZNF106	0.236249408	0.974856983	0.415448197	15
DGUOK	0.236677535	0.974856983	0.527111635	2
PTPN14	0.237189235	0.974856983	0.111871316	1
ZNF180	0.237609323	0.974856983	0.071243609	19
SLC35A2	0.239122985	0.974856983	0.29598826	X
AIM1	0.23969352	0.974856983	0.23598358	6
C1orf141	0.241596946	0.974856983	0.279710641	1
GSC	0.242633141	0.974856983	0.385289539	14
RNF128	0.24347559	0.974856983	0.778753559	X
TSLP	0.244257056	0.974856983	0.412065525	5
NUP54	0.245516812	0.974856983	0.493516527	4
CYP51A1	0.245982434	0.974856983	0.182670475	7
TPRX1	0.246105779	0.974856983	0.235279755	19
C18orf25	0.246196345	0.974856983	0.101060927	18
TADA2B	0.247466641	0.974856983	0.357648743	4
BAALC	0.248824701	0.974856983	0.182733009	8
DPCD	0.252609682	0.974856983	0.312068841	10
ENSG00000164236	0.256310743	0.974856983	0.358716295	5
GPR161	0.256674342	0.974856983	0.089166821	1
TMEM92	0.256720595	0.974856983	0.105563269	17
JTB	0.258390496	0.974856983	0.181907417	1
CAV2	0.258789824	0.974856983	0.057077211	7
C5orf38	0.264397127	0.974856983	0.271016044	5
TRMT112	0.264479647	0.974856983	0.559476756	11
HRNR	0.26903278	0.974856983	0.073622854	1
EBPL	0.270409768	0.974856983	0.04946643	13
FAM177A1	0.279822258	0.974856983	0.087046585	14
RABAC1	0.279822258	0.974856983	0.167776754	19
POLR2M	0.289411465	0.974856983	0.334784339	15
Q9H6S2_HUMAN	0.289411465	0.974856983	0.358205954	15
RP13-218H24_1	0.289411465	0.974856983	0.358199319	X
TRIM64C	0.304792571	0.974856983	0.380079254	11
EBF4	0.312066661	0.974856983	0.108199853	20
FAM150B	0.312066661	0.974856983	0.164420595	2
ISCA2	0.312066661	0.974856983	0.209285837	14
NNAT	0.312066661	0.974856983	0.105396939	20
RND2	0.312066661	0.974856983	0.18749783	17
C4B	0.325423111	0.974856983	0.291055974	6
RGCC	0.325423111	0.974856983	0.304504964	13
ATP5I	0.351481008	0.974856983	0.245235798	4
IFT20	0.351481008	0.974856983	0.106284138	17
NAT8L	0.351481008	0.974856983	0.22117196	4
SH3BGRL2	0.351481008	0.974856983	0.348960487	6
SPTSSA	0.351481008	0.974856983	0.087813775	14
TCF15	0.351481008	0.974856983	0.105994555	20
TPGS1	0.351481008	0.974856983	0.307082765	19
VAMP8	0.351481008	0.974856983	0.310948144	2
MUC19	0.356322902	0.974856983	0.431536555	12
STRA13	0.37505769	0.974856983	0.08985419	17
ANKRD18B	0.383216752	0.974856983	0.186886468	9
C10orf112	0.383216752	0.974856983	0.353402542	10
C11orf44	0.383216752	0.974856983	0.353402542	11
FKBP1C	0.383216752	0.974856983	0.353402542	6
FLJ22184	0.383216752	0.974856983	0.21516744	19
GOLGA6L2	0.383216752	0.974856983	0.353402542	15
NAMPTL	0.383216752	0.974856983	0.353402542	10
OR14K1	0.383216752	0.974856983	0.204546426	1
OR2AP1	0.383216752	0.974856983	0.353402542	12
Q8N799_HUMAN	0.383216752	0.974856983	0.353402542	5
Q8NH98_HUMAN	0.383216752	0.974856983	0.353402542	8
B3GALT6	0.402366881	0.974856983	0.196395449	1
C20orf202	0.402366881	0.974856983	0.167236236	20
C21orf2	0.402366881	0.974856983	0.137715322	21
C9orf169	0.402366881	0.974856983	0.165317161	9
CCDC23	0.402366881	0.974856983	0.107126327	1
HMGN3	0.402366881	0.974856983	0.340126177	6
MAFA	0.402366881	0.974856983	0.040396077	8
NOTO	0.402366881	0.974856983	0.240352512	2
SP9	0.402366881	0.974856983	0.167474477	2
SRSF10	0.402366881	0.974856983	0.297165425	1
SS18L2	0.402366881	0.974856983	0.354230397	3
TEX36	0.402366881	0.974856983	0.206507341	10
TMEM129	0.402366881	0.974856983	0.215353366	4
TMSB4X	0.402366881	0.974856983	0.207331625	X
CCDC144CP	0.432873049	0.974856983	0.322923398	17
TMEM233	0.434343328	0.974856983	0.350425961	12
C7orf69	0.448300719	0.974856983	0.256405891	7
FAM206A	0.448300719	0.974856983	0.236847653	9
POLE4	0.452978686	0.974856983	0.393610572	2
ANKRD65	0.457469409	0.974856983	0.202068691	1
ENSG00000179294	0.457469409	0.974856983	0.341229882	17
Q9H6K5_HUMAN	0.457469409	0.974856983	0.340830763	19
SMIM5	0.457469409	0.974856983	0.094705088	17
ZBED6	0.457469409	0.974856983	0.064374633	1
AC002472.13	0.461044576	0.974856983	0.345547066	22
ARMCX4	0.461044576	0.974856983	0.252329594	X
BMP2KL	0.461044576	0.974856983	0.345547066	X
BX088651.1	0.461044576	0.974856983	0.345547066	9
C11orf34	0.461044576	0.974856983	0.260908072	11
C1orf147	0.461044576	0.974856983	0.345547066	1
C21orf88	0.461044576	0.974856983	0.239871411	21
CDC37P1	0.461044576	0.974856983	0.345547066	16
DCDC2C	0.461044576	0.974856983	0.34563095	2
DNAJC9-AS1	0.461044576	0.974856983	0.345547066	10
ENSG00000172823	0.461044576	0.974856983	0.345547066	8
ENSG00000176757	0.461044576	0.974856983	0.345547066	5
ENSG00000182053	0.461044576	0.974856983	0.345547066	11
ENSG00000182957	0.461044576	0.974856983	0.345599038	13
ENSG00000183000	0.461044576	0.974856983	0.345547066	15
ENSG00000227011	0.461044576	0.974856983	0.345756567	17
ENSG00000236396	0.461044576	0.974856983	0.345722837	18
FAM182B	0.461044576	0.974856983	0.165123328	20
FAM188B2	0.461044576	0.974856983	0.345547066	3
FAM25A	0.461044576	0.974856983	0.286538836	10
FAM47E	0.461044576	0.974856983	0.213617662	4
FAM90A20P	0.461044576	0.974856983	0.288589092	8
FOXD4L4	0.461044576	0.974856983	0.317505255	9
KRTAP9-6	0.461044576	0.974856983	0.344924633	17
LINC00470	0.461044576	0.974856983	0.156360919	18
LINC00478	0.461044576	0.974856983	0.13531509	21
LINC00587	0.461044576	0.974856983	0.345547066	9
LOC139263	0.461044576	0.974856983	0.345547066	X
LOC165186	0.461044576	0.974856983	0.354977219	2
LOC286411	0.461044576	0.974856983	0.345547066	X
MAGEB5	0.461044576	0.974856983	0.345547066	X
MLLT4-AS1	0.461044576	0.974856983	0.341121102	6
NACA3P	0.461044576	0.974856983	0.345547066	4
NME2P1	0.461044576	0.974856983	0.345547066	12
O52L2_HUMAN	0.461044576	0.974856983	0.345547066	11
O5AK3_HUMAN	0.461044576	0.974856983	0.345547066	11
O60411_HUMAN	0.461044576	0.974856983	0.345547066	19
O95014_HUMAN	0.461044576	0.974856983	0.345547066	8
OCLM	0.461044576	0.974856983	0.084291422	1
OST4	0.461044576	0.974856983	0.216155689	2
PABPC1P2	0.461044576	0.974856983	0.301220528	2
Q6ZU04_HUMAN	0.461044576	0.974856983	0.345722837	11
Q6ZWC0_HUMAN	0.461044576	0.974856983	0.345547066	1
Q8NGM6_HUMAN	0.461044576	0.974856983	0.345547066	11
RAB44	0.461044576	0.974856983	0.345697513	6
RNF222	0.461044576	0.974856983	0.316454593	17
RP11-366L20.2	0.461044576	0.974856983	0.344403766	12
RP11-368J21.2	0.461044576	0.974856983	0.345563115	16
RP4-604K5.1	0.461044576	0.974856983	0.345547066	1
SMIM12	0.461044576	0.974856983	0.165293029	1
SNRPEP2	0.461044576	0.974856983	0.345547066	9
TMEM158	0.461044576	0.974856983	0.357796067	3
TXLNG2P	0.461044576	0.974856983	0.345547066	Y
ZDHHC11B	0.461044576	0.974856983	0.344403766	5
AC005329.1	0.4715947	0.974856983	0.280538058	19
ENSG00000188423	0.4715947	0.974856983	0.280538058	6
LTC4S	0.4715947	0.974856983	0.066408048	5
OAZ1	0.4715947	0.974856983	0.269874343	19
PLGLB2	0.4715947	0.974856983	0.293370867	2
RASA4B	0.4715947	0.974856983	0.280538058	7
TSPY1	0.4715947	0.974856983	0.280538058	Y
AC022601.1	0.476597938	0.974856983	0.341152571	18
AGAP8	0.476597938	0.974856983	0.299543995	10
ANAPC11	0.476597938	0.974856983	0.09051856	17
ATP5L2	0.476597938	0.974856983	0.279549935	22
C10orf105	0.476597938	0.974856983	0.20179095	10
C10orf32	0.476597938	0.974856983	0.329429982	10
C11orf21	0.476597938	0.974856983	0.29674093	11
C17orf50	0.476597938	0.974856983	0.173519378	17
C19orf70	0.476597938	0.974856983	0.262938866	19
C19orf77	0.476597938	0.974856983	0.264230122	19
C1orf170	0.476597938	0.974856983	0.20064023	1
C20orf166-AS1	0.476597938	0.974856983	0.068428586	20
C5orf60	0.476597938	0.974856983	0.110057475	5
C9orf57	0.476597938	0.974856983	0.198966728	9
CBY3	0.476597938	0.974856983	0.115144107	5
CNTNAP3B	0.476597938	0.974856983	0.263876828	9
CPSF4L	0.476597938	0.974856983	0.102515782	17
CRLF2	0.476597938	0.974856983	0.183439958	X
CYS1	0.476597938	0.974856983	0.172644443	2
DEFA3	0.476597938	0.974856983	0.21102778	8
DNAL4	0.476597938	0.974856983	0.297204396	22
ENSG00000005206	0.476597938	0.974856983	0.340943624	19
ENSG00000093100	0.476597938	0.974856983	0.34057628	22
ENSG00000171101	0.476597938	0.974856983	0.340155241	19
ENSG00000214944	0.476597938	0.974856983	0.340311414	5
ENSG00000219626	0.476597938	0.974856983	0.341165344	2
ENSG00000250305	0.476597938	0.974856983	0.340007217	8
EXOSC6	0.476597938	0.974856983	0.296257806	16
FAM72D	0.476597938	0.974856983	0.106514085	1
HMHB1	0.476597938	0.974856983	0.135083277	5
HMX1	0.476597938	0.974856983	0.16799192	4
IGIP	0.476597938	0.974856983	0.144886286	5
IQCF5	0.476597938	0.974856983	0.235896056	3
KBTBD11	0.476597938	0.974856983	0.188528169	8
KRTAP16-1	0.476597938	0.974856983	0.19272836	17
KRTAP2-1	0.476597938	0.974856983	0.181262298	17
KRTAP21-3	0.476597938	0.974856983	0.280722983	21
LGALS7	0.476597938	0.974856983	0.072200862	19
LOC541473	0.476597938	0.974856983	0.172084414	7
LSM7	0.476597938	0.974856983	0.334577388	19
MS4A4E	0.476597938	0.974856983	0.345547066	11
MZT1	0.476597938	0.974856983	0.171482652	13
NM_001080470_1	0.476597938	0.974856983	0.341229882	1
NPIPL3	0.476597938	0.974856983	0.185580143	16
OFCC1	0.476597938	0.974856983	0.149843055	6
OR2T29	0.476597938	0.974856983	0.057332981	1
PLEKHD1	0.476597938	0.974856983	0.291777502	14
POLR2J2	0.476597938	0.974856983	0.090864829	7
PRR24	0.476597938	0.974856983	0.281337472	19
PRR9	0.476597938	0.974856983	0.058482328	1
Q69YJ1_HUMAN	0.476597938	0.974856983	0.340004835	17
Q8N2E2_HUMAN	0.476597938	0.974856983	0.340578234	7
RPL41	0.476597938	0.974856983	0.171178404	12
SELK	0.476597938	0.974856983	0.371361089	3
SFT2D3	0.476597938	0.974856983	0.291386477	2
SPATA31A7	0.476597938	0.974856983	0.314971216	9
TMEM114	0.476597938	0.974856983	0.161462357	16
TMPRSS11BNL	0.476597938	0.974856983	0.224751745	4
TMSB4Y	0.476597938	0.974856983	0.340798918	Y
UNC93B6	0.476597938	0.974856983	0.340551681	11
USMG5	0.476597938	0.974856983	0.367649574	10
VNN3	0.476597938	0.974856983	0.28028885	6
ZNF724P	0.476597938	0.974856983	0.182082606	19
A3GALT2	0.5	0.974856983	0.295718347	1
AC092031.1	0.5	0.974856983	0.340081861	7
APLN	0.5	0.974856983	0.113677458	X
ARL5C	0.5	0.974856983	0.077364568	17
ASCL2	0.5	0.974856983	0.333170439	11
ATXN7L3B	0.5	0.974856983	0.17670748	12
BSPH1	0.5	0.974856983	0.205555802	19
C11orf91	0.5	0.974856983	0.129021558	11
C12orf73	0.5	0.974856983	0.280425341	12
C15orf61	0.5	0.974856983	0.262961558	15
C16orf74	0.5	0.974856983	0.295936999	16
C17orf105	0.5	0.974856983	0.186458949	17
C17orf51	0.5	0.974856983	0.26260917	17
C1orf222	0.5	0.974856983	0.25045433	1
C2orf74	0.5	0.974856983	0.11234784	2
C8orf82	0.5	0.974856983	0.029741062	8
CCDC177	0.5	0.974856983	0.232473043	14
CCDC71L	0.5	0.974856983	0.093635033	7
CCDC85B	0.5	0.974856983	0.163594751	11
CTXN2	0.5	0.974856983	0.257534988	15
DEFB106B	0.5	0.974856983	0.142540951	8
DPH1-OVCA2	0.5	0.974856983	0.280538058	17
EFCAB8	0.5	0.974856983	0.340233051	20
ENSG00000132356	0.5	0.974856983	0.280538058	5
ENSG00000168038	0.5	0.974856983	0.280538058	3
FAM182A	0.5	0.974856983	0.109890555	20
FAM25C	0.5	0.974856983	0.212638281	10
FLJ13855	0.5	0.974856983	0.340007862	17
FLJ20584	0.5	0.974856983	0.280538058	1
GDF1	0.5	0.974856983	0.106594547	19
GSTT2	0.5	0.974856983	0.186838932	22
GTF2H5	0.5	0.974856983	0.286224043	6
HSBP1L1	0.5	0.974856983	0.192787468	18
IGF2-AS	0.5	0.974856983	0.317048142	11
KRTAP22-2	0.5	0.974856983	0.278220163	21
LOC158730	0.5	0.974856983	0.280538058	X
LRRC26	0.5	0.974856983	0.152233871	9
MILR1	0.5	0.974856983	0.060534093	17
MT-ND5	0.5	0.974856983	0.340124428	25
NANOGNB	0.5	0.974856983	0.110600305	12
NBR2	0.5	0.974856983	0.186414858	17
NKX1-2	0.5	0.974856983	0.142451552	10
NPY6R	0.5	0.974856983	0.15088333	5
PCSK1N	0.5	0.974856983	0.144253454	X
PPP1R3G	0.5	0.974856983	0.098307991	6
PRAMEF5	0.5	0.974856983	0.232993075	1
PRNT	0.5	0.974856983	0.079239828	20
Q5T669_HUMAN	0.5	0.974856983	0.280538058	6
Q99543-2	0.5	0.974856983	0.280538058	7
Q9C0K3_HUMAN	0.5	0.974856983	0.280538058	7
SKA2P1	0.5	0.974856983	0.280538058	9
SOWAHA	0.5	0.974856983	0.11674599	5
TMEM240	0.5	0.974856983	0.195166258	1
TOMM7	0.5	0.974856983	0.081776352	7
TUSC1	0.5	0.974856983	0.129307982	9
U66061_1	0.5	0.974856983	0.280538058	7
UPK3BL	0.5	0.974856983	0.063604005	7
YV009_HUMAN	0.5	0.974856983	0.340383855	22
ZBTB42	0.5	0.974856983	0.158015836	14
ZC2HC1B	0.5	0.974856983	0.232171546	6
ZNF252P	0.5	0.974856983	0.280538058	8
ZNF725P	0.5	0.974856983	0.280538058	19
ZNF852	0.5	0.974856983	0.280538058	3
MARCH1	1	1	0.190215743	1
MARCH2	1	1	0.382772078	1
MARCH3	1	1	0.059270438	5
MARCH4	1	1	0.07974877	2
MARCH5	1	1	0.294783869	10
MARCH6	1	1	0.035448315	5
MARCH7	1	1	0.335502978	2
MARCH9	1	1	0.161840961	12
MARCH10	1	1	0.018219392	17
MARCH11	1	1	0.033262774	5
SEPT1	1	1	0.022608222	16
SEPT2	1	1	0.541711758	2
SEPT3	1	1	0.503066336	22
SEPT4	1	1	0.061438698	17
SEPT5	1	1	0.513630164	22
SEPT6	1	1	0.033670889	X
SEPT7	1	1	0.616585868	7
SEPT8	1	1	0.033834316	5
SEPT9	1	1	0.015990779	17
SEPT10	1	1	0.29079812	2
SEPT11	1	1	0.306497215	4
SEPT12	1	1	0.216235262	16
SEPT14	1	1	0.029814851	7
DEC1	1	1	0.173957642	9
A1CF	1	1	0.108139688	10
A2M	1	1	0.016901234	12
